Codigo_Planta,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME
CLTJ,COGENERADOR COLTEJER 1,ANTIOQUIA,05360,ITAGÜÍ,Antioquia,-75.61420431179603,6.179279232331661,9.4,COGENERADOR,CARBON,ND,COGENERADOR,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,2013-12-18,2013,2026-08-03,0.0,NO,35
CMN1,AUTOG CEMENTOS DEL NARE,ANTIOQUIA,05585,PUERTO NARE,Antioquia,-74.68409214760523,6.139168288565218,9.0,HIDRAULICA,AGUA,ND,AUTOGENERADOR,OPERACIÓN,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A.S. E.S.P.,2004-08-31,2004,2026-08-03,0.0,NO,51
CMP2,CAMPESTRE (EPM),ANTIOQUIA,05001,MEDELLÍN,Antioquia,-75.6110393232332,6.257590449778692,0.87,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1996-12-31,1997,2026-08-03,0.875,SI,48
COE1,COELLO,TOLIMA,73200,COELLO,Centro,-74.97459964305963,4.2781733129152615,1.2,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENERGETICA S.A. E.S.P.,2016-12-09,2016,2026-08-03,0.001,SI,548
CPT1,CAMPESTRE (CALARCA),QUINDIO,63130,CALARCÁ,Eje Cafetero,-75.65675520435025,4.467876840557189,0.7,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,EMPRESAS PUBLICAS DE CALARCA ESP,1955-12-31,1956,2026-08-03,0.001,SI,470
CQT1,CHARQUITO,CUNDINAMARCA,25754,SOACHA,Centro,-74.2403087460268,4.582030218417292,19.4,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENEL COLOMBIA SA ESP,2003-08-21,2003,2026-08-03,1.1483,SI,374
CRC1,CARACOLI,ANTIOQUIA,05142,CARACOLÍ,Antioquia,-74.73354418180044,6.337973572690631,3.75,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1934-12-31,1935,2026-08-03,0.8011,SI,16
CSC1,CASCADA,SANTANDER,68001,BUCARAMANGA,Oriente,-73.11178713645104,7.155386898226814,3.0,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1953-12-31,1954,2026-08-03,0.0,SI,494
CTG1,CARTAGENA 1,BOLÍVAR,13001,CARTAGENA DE INDIAS,Caribe,-75.45921916563543,10.46297167339698,52.0,TERMICA,COMBUSTOLEO,DC,NORMAL,OPERACIÓN,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,1995-07-19,1995,2026-08-03,13.665,NO,155
CTG2,CARTAGENA 2,BOLÍVAR,13001,CARTAGENA DE INDIAS,Caribe,-75.45921916563543,10.46297167339698,60.0,TERMICA,GAS,DC,NORMAL,OPERACIÓN,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,1979-12-31,1980,2026-08-03,11.8104,NO,156
